School Name,LA Name,LA,Estab,URN,Region,Type of School,Phase,Pre-16 School Budget Share,Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,Total Grant Funding  £000,Total Income  £000
St Stephen's Junior School,Kent,886,2608,136393,South East,Academy Converter,State-funded primary,"1,402",149,53,34,6,0,27,0,0,9,1680,2170
Brent Primary Academy The,Kent,886,2679,118589,South East,Academy Converter,State-funded primary,"1,346",134,58,264,0,37,2,0,0,2,1843,1930
Gateway Primary Academy The - Dartford,Kent,886,2685,132107,South East,Academy Converter,State-funded primary,658,36,29,177,0,7,0,0,0,0,907,942
Temple Ewell Church of England Primary School,Kent,886,2023,139436,South East,Academy Sponsor Led,State-funded primary,519,51,18,31,0,0,12,0,0,0,631,695
Jubilee Primary School,Kent,886,2043,141025,South East,Free Schools,State-funded primary,108,6,4,206,0,0,17,0,0,0,341,348
Cliffe Woods Primary,Medway,887,2588,136859,South East,Academy Converter,State-funded primary,"1,104",39,47,66,0,0,1,0,0,0,1257,1318
Loughton School,Milton Keynes,826,2332,139861,South East,Academy Converter,State-funded primary,"1,489",99,67,158,0,60,0,0,9,20,1902,1960
Rickley Park Primary School,Milton Keynes,826,5208,138933,South East,Academy Converter,State-funded primary,"1,501",147,62,80,0,123,177,30,3,12,2135,2156
Two Mile Ash School,Milton Keynes,826,5207,137061,South East,Academy Converter,State-funded primary,"2,240",193,95,21,109,47,62,0,0,"1,108",3875,3876
Oxley Park Primary School,Milton Keynes,826,3388,136853,South East,Academy Converter,State-funded primary,"1,882",72,75,24,0,59,20,0,0,0,2132,2372
Olney Infant School,Milton Keynes,826,2082,136792,South East,Academy Converter,State-funded primary,800,16,38,280,0,7,0,0,6,13,1160,1223
Premier Academy The,Milton Keynes,826,2133,136275,South East,Academy Converter,State-funded primary,0,269,"2,176",74,0,19,0,0,0,0,2538,2627
Middleton Primary School,Milton Keynes,826,2016,134071,South East,Academy Converter,State-funded primary,"2,094",80,102,355,0,106,190,7,4,178,3116,3318
Cholsey Primary School,Oxfordshire,931,2596,140279,South East,Academy Converter,State-funded primary,791,38,37,170,0,3,0,0,0,90,1129,1156
Willowcroft Community School,Oxfordshire,931,3912,139770,South East,Academy Converter,State-funded primary,842,116,37,182,0,14,121,0,4,140,1456,1463
Ladygrove Park Primary School,Oxfordshire,931,2609,139750,South East,Academy Converter,State-funded primary,"1,227",40,59,195,0,34,67,0,4,133,1759,1767
St John's Primary School - Wallingford,Oxfordshire,931,2567,139762,South East,Academy Converter,State-funded primary,618,23,29,161,0,5,3,0,0,63,902,912
Manor School - Didcot,Oxfordshire,931,2597,139755,South East,Academy Converter,State-funded primary,"1,506",155,68,192,0,33,4,0,4,43,2005,2013
Lyndhurst Junior School,Portsmouth,851,5211,139496,South East,Academy Converter,State-funded primary,"1,497",140,68,154,0,6,0,0,0,25,1890,1960
Churchend School,Reading,870,2031,136457,South East,Academy Converter,State-funded primary,"1,013",93,0,0,66,17,179,0,0,118,1486,1486
"Heights Primary School, The",Reading,870,2017,139972,South East,Free Schools,State-funded primary,227,0,0,399,0,0,90,0,0,0,716,724
Castleview Primary School,Slough,871,5204,138659,South East,Academy Converter,State-funded primary,"2,133",51,82,113,0,80,251,0,0,0,2710,2936
Godolphin Infant School,Slough,871,2196,138731,South East,Academy Converter,State-funded primary,"1,429",123,49,492,0,83,41,0,0,0,2217,2223
Godolphin Junior School,Slough,871,2221,138319,South East,Academy Converter,State-funded primary,"1,641",314,64,136,0,22,166,0,0,0,2343,2374
Ryvers School,Slough,871,5209,138192,South East,Academy Converter,State-funded primary,"1,930",202,77,399,0,120,265,0,6,6,3005,3166
Langley Hall Primary Academy,Slough,871,2000,136951,South East,Free Schools,State-funded primary,"2,482",177,85,630,0,13,0,0,0,0,3387,3838
Ludlow Junior School,Southampton,852,2418,139027,South East,Academy Converter,State-funded primary,"1,914",287,79,112,0,16,0,0,0,57,2465,2474
Ludlow Infant School,Southampton,852,2419,138625,South East,Academy Converter,State-funded primary,957,119,38,180,0,11,0,0,0,15,1320,1330
Springhill Catholic Primary School,Southampton,852,3656,137293,South East,Academy Converter,State-funded primary,"2,169",104,88,172,0,0,8,0,0,222,2763,2770
Freemantle Church of England Community Academy,Southampton,852,3202,136641,South East,Academy Converter,State-funded primary,"1,261",110,53,265,0,0,398,0,0,106,2193,2214
Connaught Junior School,Surrey,936,2440,140256,South East,Academy Converter,State-funded primary,"1,195",84,0,40,0,60,156,0,0,14,1549,1599
Horsell Village School,Surrey,936,2489,140084,South East,Academy Converter,State-funded primary,776,26,37,211,0,1,100,0,0,0,1151,1185
Oaktree School The,Surrey,936,2373,140090,South East,Academy Converter,State-funded primary,934,43,38,130,0,47,4,0,0,8,1204,1376
Cobham Free School,Surrey,936,2006,138226,South East,Free Schools,State-funded primary,865,28,30,258,0,0,21,0,0,0,1202,1347
Raleigh School The,Surrey,936,2309,137014,South East,Academy Converter,State-funded primary,"1,372",33,0,89,0,10,4,0,0,0,1508,1745
Cleves School,Surrey,936,5221,136338,South East,Academy Converter,State-funded primary,"1,782",64,84,249,0,132,158,0,0,0,2469,2975
Barnsbury Primary School,Surrey,936,3942,140540,South East,Academy Converter,State-funded primary,"1,433",110,53,68,0,17,8,0,150,0,1839,1864
Beaufort Primary School - Woking,Surrey,936,2942,140508,South East,Academy Converter,State-funded primary,"1,133",104,47,205,0,50,110,0,143,0,1792,1826
Hermitage School The - Woking,Surrey,936,2341,125022,South East,Academy Converter,State-funded primary,"1,323",84,50,19,0,85,86,0,0,7,1654,1698
Pyrford Church of England Aided Primary School,Surrey,936,3934,131906,South East,Academy Converter,State-funded primary,"1,393",42,63,113,0,44,168,0,0,7,1830,2305
St Lawrence CofE Primary School - Hassocks,West Sussex,938,3354,139879,South East,Academy Converter,State-funded primary,"1,409",36,68,244,82,13,79,0,0,40,1971,2049
Greenway School,West Sussex,938,5200,138492,South East,Academy Converter,State-funded primary,"1,070",77,52,158,0,8,0,0,0,5,1370,1502
Southwater Infant School,West Sussex,938,2136,136866,South East,Academy Converter,State-funded primary,949,22,39,122,0,13,0,0,0,0,1145,1290
Southwater Junior School,West Sussex,938,2134,136865,South East,Academy Converter,State-funded primary,"1,302",50,57,14,0,3,2,0,0,24,1452,1550
Harlands Primary School,West Sussex,938,2212,125938,South East,Academy Converter,State-funded primary,"1,338",5,59,74,0,0,0,0,0,0,1476,1553
Datchet St Mary's CofE Primary School,Windsor and Maidenhead,868,3350,137788,South East,Academy Converter,State-funded primary,719,42,33,203,0,14,188,0,0,24,1223,1257
Lowbrook Primary School,Windsor and Maidenhead,868,2186,136712,South East,Academy Converter,State-funded primary,791,14,37,211,0,3,0,0,0,29,1085,1323
Evendons Primary School,Wokingham,872,2002,140953,South East,Free Schools,State-funded primary,298,1,14,474,0,0,5,0,0,28,820,965
Chew Stoke CofE VA Primary School,Bath and North East Somerset,800,3440,138617,South West,Academy Converter,State-funded primary,480,28,23,207,0,13,0,0,0,43,794,839
Queens Park Infant School,Bournemouth,837,2232,139447,South West,Academy Converter,State-funded primary,"1,487",109,0,13,1,0,0,0,0,0,1610,1660
Pokesdown Community Primary School,Bournemouth,837,2227,139453,South West,Academy Converter,State-funded primary,"1,418",168,60,180,0,28,2,0,0,65,1921,1924
Cathedral Primary School,Bristol City of,801,2087,139828,South West,Free Schools,State-funded primary,384,19,9,91,0,0,0,0,0,0,503,516
Stoke Bishop Church of England Primary School,Bristol City of,801,3025,139505,South West,Academy Converter,State-funded primary,"1,427",93,65,74,0,41,15,0,0,47,1762,1789
Parson Street Primary School,Bristol City of,801,2061,138904,South West,Academy Converter,State-funded primary,"1,754",212,62,59,0,55,225,0,0,48,2415,2452
St Teresa's Catholic Primary School - Bristol,Bristol City of,801,3414,139033,South West,Academy Converter,State-funded primary,824,29,29,150,0,28,2,0,0,36,1098,1108
St Nicholas of Tolentine Catholic Primary School,Bristol City of,801,3408,139032,South West,Academy Converter,State-funded primary,903,130,26,48,0,5,5,0,0,19,1136,1157
St Patrick's Catholic Primary School - Bristol,Bristol City of,801,3411,138465,South West,Academy Converter,State-funded primary,821,28,29,180,0,30,0,0,51,0,1139,1153
Westbury Park Primary School,Bristol City of,801,2091,138531,South West,Academy Converter,State-funded primary,"1,358",40,58,252,0,51,0,0,0,46,1805,1908
Christ Church Church of England Primary School - Bristol,Bristol City of,801,3003,138317,South West,Academy Converter,State-funded primary,"1,003",47,39,180,0,26,50,0,0,54,1399,1420
Colston's Primary School,Bristol City of,801,2022,138708,South West,Academy Converter,State-funded primary,"1,703",113,62,68,0,30,15,0,0,92,2083,2123
Henleaze Junior School,Bristol City of,801,2040,137518,South West,Academy Converter,State-funded primary,"1,380",42,53,25,0,105,0,0,0,37,1642,1727
West Town Lane Academy,Bristol City of,801,3436,137762,South West,Academy Converter,State-funded primary,"1,984",51,64,66,0,257,0,0,0,0,2422,2538
Westbury-on-Trym CofE Primary School,Bristol City of,801,3026,137062,South West,Academy Converter,State-funded primary,"1,515",67,57,100,0,59,0,0,0,32,1830,1904
Elmlea Junior School,Bristol City of,801,2112,136830,South West,Academy Converter,State-funded primary,"1,307",29,0,10,0,28,2,0,0,87,1463,1552
Hotwells Primary School,Bristol City of,801,2044,108937,South West,Academy Converter,State-funded primary,939,74,47,341,0,36,127,0,0,63,1627,1664
Tregolls School The,Cornwall,908,2001,138671,South West,Academy Sponsor Led,State-funded primary,693,149,23,46,0,45,92,0,0,66,1114,1159
Nansloe Community Primary School,Cornwall,908,2134,137616,South West,Academy Converter,State-funded primary,827,107,27,35,0,6,61,0,0,21,1084,1106
St Merryn School,Cornwall,908,2515,137623,South West,Academy Converter,State-funded primary,419,12,14,35,0,0,73,0,0,25,578,582
Harrowbarrow School,Cornwall,908,2704,137517,South West,Academy Converter,State-funded primary,422,31,15,31,0,0,0,0,0,17,516,521
St Ives Infant School,Cornwall,908,2030,137468,South West,Academy Converter,State-funded primary,631,69,24,69,0,11,68,0,0,0,872,915
Ludgvan Community Primary School,Cornwall,908,2032,137466,South West,Academy Converter,State-funded primary,721,47,26,42,0,13,0,0,0,20,869,886
Archbishop Benson CofE Primary School,Cornwall,908,3549,137258,South West,Academy Converter,State-funded primary,"1,417",71,60,90,0,24,4,0,0,42,1708,1755
Sir Robert Geffery's Voluntary Aided Church of England Primary School,Cornwall,908,3876,137257,South West,Academy Converter,State-funded primary,764,40,31,163,18,7,0,0,1,53,1077,1117
St Breock Primary School,Cornwall,908,2756,137142,South West,Academy Converter,State-funded primary,720,49,66,34,0,12,92,0,0,65,1038,1079
Brunel Academy,Cornwall,908,2754,136957,South West,Academy Converter,State-funded primary,"1,096",146,43,79,0,7,122,0,0,59,1552,1560
Trewirgie Infant School,Cornwall,908,2223,136881,South West,Academy Converter,State-funded primary,"1,064",69,43,110,0,21,141,0,0,0,1448,1505
Trewirgie Junior School,Cornwall,908,2222,136831,South West,Academy Converter,State-funded primary,"1,241",107,49,40,0,0,0,0,4,64,1505,1570
St Hilary School,Cornwall,908,2017,136879,South West,Academy Converter,State-funded primary,850,48,0,132,0,30,46,0,0,50,1156,1169
St Columb Minor School,Cornwall,908,2454,136869,South West,Academy Converter,State-funded primary,"1,654",157,92,132,0,17,150,0,0,70,2272,2422
St Columb Major Community Primary School,Cornwall,908,2431,136862,South West,Academy Converter,State-funded primary,"1,124",106,45,103,0,40,26,0,0,61,1505,1571
Charlestown Primary School,Cornwall,908,2449,136760,South West,Academy Converter,State-funded primary,739,27,29,54,0,3,97,0,0,24,973,974
Trevithick Learning Academy,Cornwall,908,2743,136598,South West,Academy Converter,State-funded primary,"1,205",152,46,348,0,35,169,0,0,22,1977,2042
Bodriggy Academy,Cornwall,908,2229,136523,South West,Academy Converter,State-funded primary,"1,167",163,44,71,0,3,100,0,0,83,1631,1636
St Buryan Primary School,Cornwall,908,5201,136269,South West,Academy Converter,State-funded primary,453,26,0,29,0,0,25,0,0,0,533,561
Sparkwell All Saints Primary School,Devon,878,2021,139795,South West,Free Schools,State-funded primary,256,2,0,27,0,8,1,0,0,24,318,321
Stowford School,Devon,878,2709,137963,South West,Academy Converter,State-funded primary,"1,245",78,52,73,0,29,55,0,0,143,1675,1724
Bickleigh on Exe Church of England Primary School,Devon,878,3165,137776,South West,Academy Converter,State-funded primary,490,25,19,20,0,22,36,0,0,0,612,758
Littletown Primary School,Devon,878,2049,137732,South West,Academy Converter,State-funded primary,"1,250",87,54,58,0,35,106,0,0,21,1611,1719
Stockland Church of England Primary School,Devon,878,3023,137454,South West,Academy Converter,State-funded primary,390,3,15,21,0,10,11,0,0,31,481,514
Newport Community School,Devon,878,2258,137012,South West,Academy Converter,State-funded primary,"1,510",70,63,94,0,25,177,0,0,78,2017,2130
Bradworthy Primary Academy,Devon,878,2213,136492,South West,Academy Converter,State-funded primary,551,38,25,91,0,15,1,0,0,0,721,762
Broadclyst Community Primary School,Devon,878,2004,136280,South West,Academy Converter,State-funded primary,"1,451",86,61,262,0,69,192,0,0,169,2290,2322
Chickerell Primary Academy,Dorset,835,2201,139147,South West,Academy Converter,State-funded primary,"1,221",130,54,51,0,0,0,0,0,37,1493,1648
Stone with Woodford Church of England Primary School,Gloucestershire,916,3038,139987,South West,Academy Converter,State-funded primary,0,16,12,352,0,2,2,0,0,0,384,419
St Anthony's School,Gloucestershire,916,6049,140202,South West,Free Schools,State-funded primary,452,19,18,33,0,0,42,0,0,43,607,617
Severnbanks Primary School,Gloucestershire,916,5216,139165,South West,Academy Converter,State-funded primary,848,119,0,42,0,0,68,0,0,150,1227,1285
Forest View Primary School,Gloucestershire,916,2061,139150,South West,Academy Converter,State-funded primary,987,144,0,50,0,22,2,0,0,25,1230,1261
Christ Church CofE Primary School - Cheltenham,Gloucestershire,916,5215,138940,South West,Academy Converter,State-funded primary,852,46,30,76,0,0,32,0,0,0,1036,1110
